Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
130,OK,SOP,EXTENDED_CONTROL_MSG,4,DFP,SRC,1,v3,648,1526,20813,0x99B0 0x8002 0x04 0x00,18307165,18307813
131,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,511,81,20789,0x881,18307894,18308405
132,OK,SOP,EXTENDED_CONTROL_MSG,4,UFP,SNK,1,v3,645,454457,20825,0x9890 0x8002 0x03 0x00,18762862,18763507
133,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,97,20801,0x9A1,18763604,18764116
134,OK,SOP,EXTENDED_CONTROL_MSG,5,DFP,SRC,1,v3,647,1750,20825,0x9BB0 0x8002 0x04 0x00,18765866,18766513
135,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,82,20801,0xA81,18766595,18767105
136,OK,SOP,EXTENDED_CONTROL_MSG,5,UFP,SNK,1,v3,645,454240,20813,0x9A90 0x8002 0x03 0x00,19221345,19221990
137,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,512,96,20789,0xBA1,19222086,19222598
138,OK,SOP,EXTENDED_CONTROL_MSG,6,DFP,SRC,1,v3,647,1621,20801,0x9DB0 0x8002 0x04 0x00,19224219,19224866
139,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,510,82,20789,0xC81,19224948,19225458
140,OK,SOP,EXTENDED_CONTROL_MSG,6,UFP,SNK,1,v3,646,454369,20825,0x9C90 0x8002 0x03 0x00,19679827,19680473
141,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,513,97,20801,0xDA1,19680570,19681083
142,OK,SOP,EXTENDED_CONTROL_MSG,7,DFP,SRC,1,v3,647,1868,20813,0x9FB0 0x8002 0x04 0x00,19682951,19683598
143,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,82,20777,0xE81,19683680,19684190
144,OK,SOP,EXTENDED_CONTROL_MSG,7,UFP,SNK,1,v3,645,454141,20836,0x9E90 0x8002 0x03 0x00,20138331,20138976
145,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,511,98,20801,0xFA1,20139074,20139585
146,OK,SOP,EXTENDED_CONTROL_MSG,0,DFP,SRC,1,v3,647,1716,20777,0x91B0 0x8002 0x04 0x00,20141301,20141948
147,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,82,20753,0x81,20142030,20142540
148,OK,SOP,EXTENDED_CONTROL_MSG,0,UFP,SNK,1,v3,645,454290,20848,0x9090 0x8002 0x03 0x00,20596830,20597475
149,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,99,20813,0x1A1,20597574,20598086
150,OK,SOP,EXTENDED_CONTROL_MSG,1,DFP,SRC,1,v3,647,1604,20813,0x93B0 0x8002 0x04 0x00,20599690,20600337
151,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,510,82,20789,0x281,20600419,20600929
152,OK,SOP,EXTENDED_CONTROL_MSG,1,UFP,SNK,1,v3,645,454400,20825,0x9290 0x8002 0x03 0x00,21055329,21055974
153,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,512,96,20789,0x3A1,21056070,21056582
154,OK,SOP,EXTENDED_CONTROL_MSG,2,DFP,SRC,1,v3,647,1527,20825,0x95B0 0x8002 0x04 0x00,21058109,21058756
155,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,511,81,20801,0x481,21058837,21059348
156,OK,SOP,EXTENDED_CONTROL_MSG,2,UFP,SNK,1,v3,646,454503,20813,0x9490 0x8002 0x03 0x00,21513851,21514497
157,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,512,98,20801,0x5A1,21514595,21515107
158,OK,SOP,EXTENDED_CONTROL_MSG,3,DFP,SRC,1,v3,647,1784,20836,0x97B0 0x8002 0x04 0x00,21516891,21517538
159,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,82,20801,0x681,21517620,21518130
160,OK,SOP,EXTENDED_CONTROL_MSG,3,UFP,SNK,1,v3,645,454224,20848,0x9690 0x8002 0x03 0x00,21972354,21972999
161,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,512,99,20825,0x7A1,21973098,21973610
162,OK,SOP,EXTENDED_CONTROL_MSG,4,DFP,SRC,1,v3,647,1723,20836,0x99B0 0x8002 0x04 0x00,21975333,21975980
163,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,81,20813,0x881,21976061,21976571
164,OK,SOP,EXTENDED_CONTROL_MSG,4,UFP,SNK,1,v3,646,454268,20836,0x9890 0x8002 0x03 0x00,22430839,22431485
165,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,98,20813,0x9A1,22431583,22432095
166,OK,SOP,EXTENDED_CONTROL_MSG,5,DFP,SRC,1,v3,647,1604,20836,0x9BB0 0x8002 0x04 0x00,22433699,22434346
167,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,82,20825,0xA81,22434428,22434938
168,OK,SOP,EXTENDED_CONTROL_MSG,5,UFP,SNK,1,v3,645,454418,20848,0x9A90 0x8002 0x03 0x00,22889356,22890001
169,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,512,97,20825,0xBA1,22890098,22890610
170,OK,SOP,EXTENDED_CONTROL_MSG,6,DFP,SRC,1,v3,647,1834,20836,0x9DB0 0x8002 0x04 0x00,22892444,22893091
171,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,511,82,20813,0xC81,22893173,22893684
172,OK,SOP,EXTENDED_CONTROL_MSG,6,UFP,SNK,1,v3,645,454168,20860,0x9C90 0x8002 0x03 0x00,23347852,23348497
173,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,511,99,20825,0xDA1,23348596,23349107
174,OK,SOP,EXTENDED_CONTROL_MSG,7,DFP,SRC,1,v3,648,1743,20836,0x9FB0 0x8002 0x04 0x00,23350850,23351498
175,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,81,20813,0xE81,23351579,23352089
176,OK,SOP,EXTENDED_CONTROL_MSG,7,UFP,SNK,1,v3,646,454274,20836,0x9E90 0x8002 0x03 0x00,23806363,23807009
177,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,512,112,20813,0xFA1,23807121,23807633
178,OK,SOP,EXTENDED_CONTROL_MSG,0,DFP,SRC,1,v3,648,1550,20836,0x91B0 0x8002 0x04 0x00,23809183,23809831
179,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,510,81,20813,0x81,23809912,23810422
180,OK,SOP,EXTENDED_CONTROL_MSG,0,UFP,SNK,1,v3,645,454421,20848,0x9090 0x8002 0x03 0x00,24264843,24265488
181,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,97,20825,0x1A1,24265585,24266097
182,OK,SOP,EXTENDED_CONTROL_MSG,1,DFP,SRC,1,v3,648,1523,20836,0x93B0 0x8002 0x04 0x00,24267620,24268268
183,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,510,81,20825,0x281,24268349,24268859
184,OK,SOP,EXTENDED_CONTROL_MSG,1,UFP,SNK,1,v3,645,454442,20836,0x9290 0x8002 0x03 0x00,24723301,24723946
185,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,512,96,20813,0x3A1,24724042,24724554
186,OK,SOP,EXTENDED_CONTROL_MSG,2,DFP,SRC,1,v3,647,1476,20836,0x95B0 0x8002 0x04 0x00,24726030,24726677
187,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,82,20813,0x481,24726759,24727269
188,OK,SOP,EPR_REQUEST,2,UFP,SNK,2,v3,780,152547,20836,0x2489 0xB0478064 0xD3C096F0,24879816,24880596
