Sno,Ok,SOP,Message,Msg Id,Data Role,Power Role,Obj Count,Rev,Duration,Delta,Vbus(V),Data,Start Time,End Time
71,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,82,20753,0xA81,11402536,11403046
72,OK,SOP,EXTENDED_CONTROL_MSG,5,UFP,SNK,1,v3,646,454340,20789,0x9A90 0x8002 0x03 0x00,11857386,11858032
73,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,512,97,20765,0xBA1,11858129,11858641
74,OK,SOP,EXTENDED_CONTROL_MSG,6,DFP,SRC,1,v3,648,1747,20789,0x9DB0 0x8002 0x04 0x00,11860388,11861036
75,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,510,81,20753,0xC81,11861117,11861627
76,OK,SOP,EXTENDED_CONTROL_MSG,6,UFP,SNK,1,v3,645,454130,20801,0x9C90 0x8002 0x03 0x00,12315757,12316402
77,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,512,99,20777,0xDA1,12316501,12317013
78,OK,SOP,EXTENDED_CONTROL_MSG,7,DFP,SRC,1,v3,647,1645,20789,0x9FB0 0x8002 0x04 0x00,12318658,12319305
79,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,82,20753,0xE81,12319387,12319897
80,OK,SOP,EXTENDED_CONTROL_MSG,7,UFP,SNK,1,v3,646,454231,20801,0x9E90 0x8002 0x03 0x00,12774128,12774774
81,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,512,99,20765,0xFA1,12774873,12775385
82,OK,SOP,EXTENDED_CONTROL_MSG,0,DFP,SRC,1,v3,648,1553,20789,0x91B0 0x8002 0x04 0x00,12776938,12777586
83,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,511,81,20765,0x81,12777667,12778178
84,OK,SOP,EXTENDED_CONTROL_MSG,0,UFP,SNK,1,v3,645,454307,20801,0x9090 0x8002 0x03 0x00,13232485,13233130
85,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,97,20777,0x1A1,13233227,13233739
86,OK,SOP,EXTENDED_CONTROL_MSG,1,DFP,SRC,1,v3,648,1834,20789,0x93B0 0x8002 0x04 0x00,13235573,13236221
87,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,511,81,20765,0x281,13236302,13236813
88,OK,SOP,EPR_REQUEST,1,UFP,SNK,2,v3,781,284674,20801,0x2289 0xB047800A 0xD3C096F0,13521487,13522268
89,OK,SOP,GOODCRC,1,DFP,SRC,0,v3,512,95,20765,0x3A1,13522363,13522875
90,OK,SOP,ACCEPT,2,DFP,SRC,0,v3,512,2885,20801,0x5A3,13525760,13526272
91,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,510,82,20777,0x481,13526354,13526864
92,OK,SOP,PS_RDY,3,DFP,SRC,0,v3,512,49790,22426,0x7A6,13576654,13577166
93,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,82,22426,0x681,13577248,13577758
94,OK,SOP,EXTENDED_CONTROL_MSG,2,UFP,SNK,1,v3,645,405090,23730,0x9490 0x8002 0x03 0x00,13982848,13983493
95,OK,SOP,GOODCRC,2,DFP,SRC,0,v3,512,98,23706,0x5A1,13983591,13984103
96,OK,SOP,EXTENDED_CONTROL_MSG,4,DFP,SRC,1,v3,648,1812,23730,0x99B0 0x8002 0x04 0x00,13985915,13986563
97,OK,SOP,GOODCRC,4,UFP,SNK,0,v3,510,82,23706,0x881,13986645,13987155
98,OK,SOP,EXTENDED_CONTROL_MSG,3,UFP,SNK,1,v3,645,454156,23742,0x9690 0x8002 0x03 0x00,14441311,14441956
99,OK,SOP,GOODCRC,3,DFP,SRC,0,v3,512,99,23718,0x7A1,14442055,14442567
100,OK,SOP,EXTENDED_CONTROL_MSG,5,DFP,SRC,1,v3,648,1453,23730,0x9BB0 0x8002 0x04 0x00,14444020,14444668
101,OK,SOP,GOODCRC,5,UFP,SNK,0,v3,510,81,23718,0xA81,14444749,14445259
102,OK,SOP,EXTENDED_CONTROL_MSG,4,UFP,SNK,1,v3,645,454484,23730,0x9890 0x8002 0x03 0x00,14899743,14900388
103,OK,SOP,GOODCRC,4,DFP,SRC,0,v3,512,98,23718,0x9A1,14900486,14900998
104,OK,SOP,EXTENDED_CONTROL_MSG,6,DFP,SRC,1,v3,648,1520,23718,0x9DB0 0x8002 0x04 0x00,14902518,14903166
105,OK,SOP,GOODCRC,6,UFP,SNK,0,v3,510,82,23706,0xC81,14903248,14903758
106,OK,SOP,EXTENDED_CONTROL_MSG,5,UFP,SNK,1,v3,646,454432,23730,0x9A90 0x8002 0x03 0x00,15358190,15358836
107,OK,SOP,GOODCRC,5,DFP,SRC,0,v3,512,106,23718,0xBA1,15358942,15359454
108,OK,SOP,EXTENDED_CONTROL_MSG,7,DFP,SRC,1,v3,647,1558,23718,0x9FB0 0x8002 0x04 0x00,15361012,15361659
109,OK,SOP,GOODCRC,7,UFP,SNK,0,v3,510,82,23706,0xE81,15361741,15362251
110,OK,SOP,EPR_REQUEST,6,UFP,SNK,2,v3,780,110582,23730,0x2C89 0xB048700A 0xD3C096F0,15472833,15473613
111,OK,SOP,GOODCRC,6,DFP,SRC,0,v3,511,95,23695,0xDA1,15473708,15474219
112,OK,SOP,ACCEPT,0,DFP,SRC,0,v3,512,2783,23730,0x1A3,15477002,15477514
113,OK,SOP,GOODCRC,0,UFP,SNK,0,v3,511,82,23695,0x81,15477596,15478107
114,OK,SOP,PS_RDY,1,DFP,SRC,0,v3,512,44733,25165,0x3A6,15522840,15523352
115,OK,SOP,GOODCRC,1,UFP,SNK,0,v3,511,81,25165,0x281,15523433,15523944
116,OK,SOP,EXTENDED_CONTROL_MSG,7,UFP,SNK,1,v3,646,404302,26671,0x9E90 0x8002 0x03 0x00,15928246,15928892
117,OK,SOP,GOODCRC,7,DFP,SRC,0,v3,513,110,26648,0xFA1,15929002,15929515
118,OK,SOP,EXTENDED_CONTROL_MSG,2,DFP,SRC,1,v3,648,1503,26671,0x95B0 0x8002 0x04 0x00,15931018,15931666
119,OK,SOP,GOODCRC,2,UFP,SNK,0,v3,511,81,26636,0x481,15931747,15932258
120,OK,SOP,EXTENDED_CONTROL_MSG,0,UFP,SNK,1,v3,645,454436,26659,0x9090 0x8002 0x03 0x00,16386694,16387339
121,OK,SOP,GOODCRC,0,DFP,SRC,0,v3,512,98,26636,0x1A1,16387437,16387949
122,OK,SOP,EXTENDED_CONTROL_MSG,3,DFP,SRC,1,v3,648,1514,26659,0x97B0 0x8002 0x04 0x00,16389463,16390111
123,OK,SOP,GOODCRC,3,UFP,SNK,0,v3,510,81,26636,0x681,16390192,16390702
